agent,query,difficulty,solution,cite,necessary_tools,unnecessary_tools,possible,current_plan,messages
main_agent,¿Qué herramientas o procesos se utilizan para gestionar las dependencias en este proyecto?,1,"""Pip para dependencias Python"", ""requirements.txt para dependencias necesarias""",requirements.txt,,,TRUE,,
main_agent,¿Quiénes son los actores o usuarios que interactúan con el sistema y cómo lo hacen?,0,"""Equipos internos de LKS Next"", ""Interactúan desarrollando aplicaciones con las herramientas del proyecto""",informacion-cliente.md,,,TRUE,,
main_agent,¿Cuáles son los niveles de permiso o roles definidos para cada tipo de actor en el sistema? ¿Puedes proporcionar los niveles de privilegio de cada uno?,2,"""GitLab con niveles de permiso"", ""Aritz Galdos y Mikel Lonbide privilegios máximos""",gitlab_repository,,,TRUE,,
main_agent,¿Qué sistemas externos se integran o comunican con este sistema cómo se integran en el código fuente?,2,"""APIs de OpenAI para modelos LLM"", ""APIs de Anthropic para modelos LLM"", ""Se conectan mediante API REST"", ""Autenticación mediante clave de API"", ""Se incluye un ejemplo del código fuente""",referencias-tecnicas.md,,,TRUE,,
main_agent,¿Qué aplicaciones servicios o contenedores principales conforman el sistema y cuál es la función de cada uno?,1,"""Aplicación Web Flask para interfaz y lógica"", ""Base de Datos PostgreSQL con pgvector"", ""Servicio de Vectorización para embeddings""",arquitectura-software.md,,,TRUE,,
main_agent,¿Qué estrategias o patrones se aplican para optimizar el rendimiento de las consultas a bases de datos? ¿Podrías proporcionar ejemplos en el código fuente?,2,"""Uso de pgvector para búsqueda vectorial"", ""Sugerencia de caché de embeddings"", ""Ajuste de tamaño de chunks para RAG"", ""Se incluye al menos un ejemplo del código fuente""",arquitectura-software.md,,,TRUE,,
main_agent,¿Qué protocolos patrones o estándares se utilizan para la comunicación la aplicación web y la base de datos?,2,"""SQLAlchemy para comunicación con base de datos"", ""SQLAlchemy como método ORM"", ""Se incluye al menos un ejemplo de código de uso de SQLAlchemy""",,,,TRUE,,
main_agent,¿Cuál es la estructura detallada de clases interfaces y objetos dentro del contenedor de aplicación web?,1,"""Se mencionan al menos dos de los módulos: Views / Model / Tools, API"", ""Se mencionan al menos tres de las entidades: App / Agent / Repository / Resource / Model / User"", ""se mencionan los blueprints: agents_blueprint / repositories_blueprint / resources_blueprint / api_blueprint""",arquitectura-software.md,,,TRUE,,
main_agent,¿Qué patrones o protocolos de comunicación se utilizan entre los componentes dentro del contenedor apliación web?,1,"""Patrón MVC (Model-View-Controller) adaptado a Flask"", ""Inyección de dependencias para database y herramientas"", ""Comunicación por invocación directa entre blueprints y servicios"", ""Patrón Repository para acceso a datos""",arquitectura-software.md,,,TRUE,,
main_agent,¿Cuál es la estructura y funcionamiento detallada de clases interfaces y objetos dentro del componente tools de la aplicación web?,1,"""Clase PGVectorTools para interacción con plugin pgvector"", ""funciones específicas para base de datos milvus en milvusTools.py"", ""funciones RAG para agentes en modelTools.py""","app/tools/modelTools.py, app/tools/milvusTools.py, app/tools/pgVectorTools.py",,,TRUE,,
main_agent,¿Puedes mostrarme la jerarquía completa de llamadas para el método invoke_rag_with_repo en ModelTools?,0,"""invoke_rag_with_repo"", ""get_embedding"", ""pgVectorTools.search_similar_resources"", ""getLLM""",app/tools/modelTools.py,,,TRUE,,
main_agent,¿Cuáles son los métodos más complejos o difíciles de entender en el código y por qué?,1," ""Se menciona alguno de los siguientes métodos: invoke_conversational_retrieval_chain o invoke_rag_with_repo""",app/tools/modelTools.py,,,TRUE,,
main_agent,¿Qué principios de diseño (SOLID DRY) o buenas prácticas de código se aplican en el proyecto? proporciona ejemplos de código,2,"""Principio DRY (Don't Repeat Yourself)"", ""Principio de Responsabilidad Única"", ""Separación de preocupaciones en módulos y clases"", ""Documentación de código con docstrings"", ""Se incluye al menos un ejemplo de uso en el código de uno de los principios""",estandares-codigo.md,,,TRUE,,
main_agent,Quiero implementar el panel del administrador ¿existe algún tipo de documentación para ello?,1,"""Sí, existe una maqueta HTML para el panel del administrador""",0-heroes-admin.html,,,TRUE,,
main_agent,Proporciona ejemplos donde se aplican los principios de la guía de estilos visual,2,"""Se explican algunos principios de la guía de estilos visual"", ""Se incluyen ejemplos de código para los principios explicados""",guia_de_estilos_visual,,,TRUE,,
main_agent,Proporciona ejemplos donde se aplican los principios de la guía de código,2,"""Se explican algunos principios de la guía de código"", ""Se incluyen ejemplos de código para los principios explicados""",estandares-codigo.md,,,TRUE,,
main_agent,¿Quién ha implementado la funcionalidad de embeddings de Mistral?,2,"""Lo ha implementado Mikel"", ""Hay issue de GitLab para ello""",11,,,TRUE,,
